"","Setting","rep","alpha","beta","gamma","y.mean","Truth","Unadjusted","PSReg","PSS","IPW","IPW2"
"result.72",6,72,-1,6,-3.4,0.333394865436257,-0.198629029983153,-0.134911656484167,-0.143778526429668,-0.1436682961622,-0.169639872709883,-0.144126382880069
"result.73",6,73,-1,6,-3.4,0.334579068171765,-0.198629029983153,-0.135524669638182,-0.144385355589148,-0.144319151439681,-0.17016504108428,-0.144560966277255
"result.74",6,74,-1,6,-3.4,0.334408403659883,-0.198629029983153,-0.13579317295984,-0.144685959828813,-0.144707915891831,-0.170413380723666,-0.144774737340069
"result.75",6,75,-1,6,-3.4,0.332517162232292,-0.198629029983153,-0.13561598733693,-0.144230337686151,-0.14429416837775,-0.169954339237012,-0.144481856861457
"result.76",6,76,-1,6,-3.4,0.332670411998063,-0.198629029983153,-0.133019667478366,-0.141583720908725,-0.141391939060847,-0.167341199639285,-0.141919252327604
"result.77",6,77,-1,6,-3.4,0.333074434107825,-0.198629029983153,-0.136903724429387,-0.145155490131867,-0.145346851174804,-0.170488466902675,-0.145002532612439
"result.78",6,78,-1,6,-3.4,0.332708724439506,-0.198629029983153,-0.132360110072109,-0.14160190203621,-0.141037608755695,-0.167653720727839,-0.14222350089093
"result.79",6,79,-1,6,-3.4,0.331642941977549,-0.198629029983153,-0.132513879302288,-0.141081240156519,-0.140982804130883,-0.166457222479406,-0.141104964140742
"result.80",6,80,-1,6,-3.4,0.333408797233145,-0.198629029983153,-0.13498296569351,-0.144074628944589,-0.143876049837984,-0.169820439174912,-0.144290485472425
"result.81",6,81,-1,6,-3.4,0.333562046998917,-0.198629029983153,-0.133657908750988,-0.14312886410199,-0.142636884937548,-0.168646417160261,-0.143170197817238
"result.82",6,82,-1,6,-3.4,0.333523734557474,-0.198629029983153,-0.135882097438527,-0.145526865686089,-0.145550391249935,-0.171356521847463,-0.14578181252404
"result.83",6,83,-1,6,-3.4,0.334276051589444,-0.198629029983153,-0.135024930977073,-0.143169142008371,-0.142845634562349,-0.168795767560025,-0.143253203040201
"result.84",6,84,-1,6,-3.4,0.334283017487888,-0.198629029983153,-0.133405149806459,-0.1426823425898,-0.14254584781456,-0.16860031407556,-0.143011156930372
"result.85",6,85,-1,6,-3.4,0.333725745612355,-0.198629029983153,-0.138096539396047,-0.148558405845973,-0.148503347500432,-0.174440662437203,-0.148840633502358
"result.86",6,86,-1,6,-3.4,0.33403572809312,-0.198629029983153,-0.13622212109021,-0.14564091519305,-0.145323335151055,-0.171586520939425,-0.146050167769646
"result.87",6,87,-1,6,-3.4,0.33211314012253,-0.198629029983153,-0.135475869523264,-0.144519394045214,-0.144487249698987,-0.170244321160645,-0.14484119235029
"result.88",6,88,-1,6,-3.4,0.332942082037386,-0.198629029983153,-0.138342730147002,-0.147669641910826,-0.147589286839297,-0.173629020019586,-0.148142937938413
"result.89",6,89,-1,6,-3.4,0.332607718912066,-0.198629029983153,-0.135862963404271,-0.144658696474689,-0.144601308202446,-0.170375050212608,-0.144898179109032
"result.90",6,90,-1,6,-3.4,0.333398348385479,-0.198629029983153,-0.135128555177202,-0.145630164061639,-0.145173747002778,-0.171555190256606,-0.145991808703542
"result.91",6,91,-1,6,-3.4,0.332043481138089,-0.198629029983153,-0.132898105854011,-0.143395812799899,-0.143092121585466,-0.169254972148064,-0.143799692625343
"result.92",6,92,-1,6,-3.4,0.333346104147148,-0.198629029983153,-0.133774984194666,-0.143304103041221,-0.143036331875814,-0.16929587866397,-0.143766199723037
"result.93",6,93,-1,6,-3.4,0.334753215632869,-0.198629029983153,-0.134355471237215,-0.144892684347231,-0.144442289668104,-0.170786004644498,-0.145185250772994
"result.94",6,94,-1,6,-3.4,0.332259423989858,-0.198629029983153,-0.135505165230424,-0.146117919570983,-0.145709842996296,-0.17180046345581,-0.146365896297261
"result.95",6,95,-1,6,-3.4,0.332520645181514,-0.198629029983153,-0.136279923538903,-0.145241172911236,-0.145283191802516,-0.170764920280559,-0.145307751744217
"result.96",6,96,-1,6,-3.4,0.333339138248703,-0.198629029983153,-0.134570539958176,-0.144306002968661,-0.144072087622549,-0.169989585438861,-0.144458755557779
"result.97",6,97,-1,6,-3.4,0.333697882018578,-0.198629029983153,-0.136668688139164,-0.146605319574196,-0.146471390011535,-0.172231269196672,-0.146675916015364
"result.98",6,98,-1,6,-3.4,0.33219673090386,-0.198629029983153,-0.135987544312251,-0.144609095444817,-0.14433744719954,-0.170158938360119,-0.144741454842921
"result.99",6,99,-1,6,-3.4,0.334258636843333,-0.198629029983153,-0.135491098871028,-0.144099009800023,-0.144083660053784,-0.169849800009099,-0.144252012844302
"result.100",6,100,-1,6,-3.4,0.333300825807261,-0.198629029983153,-0.134978638765655,-0.144446329933397,-0.144261498187516,-0.170331756737053,-0.144824195542253
"result.1",7,1,-1,7,-3.8,0.36038423895818,-0.199187967244689,-0.124391003199212,-0.137071530091495,-0.136648628433694,-0.165007806625564,-0.137607489950796
"result.2",7,2,-1,7,-3.8,0.360272784583074,-0.199187967244689,-0.125273401428512,-0.136629228352453,-0.136388741724036,-0.164080922898697,-0.136680289510661
"result.3",7,3,-1,7,-3.8,0.361171385482371,-0.199187967244689,-0.123984523243126,-0.136274930726017,-0.135733489472694,-0.163950322643811,-0.136455639426471
"result.4",7,4,-1,7,-3.8,0.361352498841919,-0.199187967244689,-0.123137362850994,-0.133893957566769,-0.13439767260918,-0.161577071406988,-0.134102568307613
"result.5",7,5,-1,7,-3.8,0.36203863983867,-0.199187967244689,-0.128133645640056,-0.140200089600177,-0.139501556398536,-0.168101294440278,-0.140621927937005
"result.6",7,6,-1,7,-3.8,0.358600968956474,-0.199187967244689,-0.126537151581773,-0.137098086654033,-0.137026657244695,-0.164664228968417,-0.137383296409195
"result.7",7,7,-1,7,-3.8,0.360746465677277,-0.199187967244689,-0.124289253540539,-0.135437123132452,-0.134931074783332,-0.16313554061102,-0.135765680447472
"result.8",7,8,-1,7,-3.8,0.36030064817685,-0.199187967244689,-0.124563854595786,-0.135217110043236,-0.135300869944004,-0.163052307567521,-0.135662099142977
"result.9",7,9,-1,7,-3.8,0.360965891478268,-0.199187967244689,-0.124696415077291,-0.134397498714145,-0.134323875217032,-0.162088530288838,-0.134669168127498
"result.10",7,10,-1,7,-3.8,0.361338567045031,-0.199187967244689,-0.12569239900666,-0.136928647160391,-0.136415405356351,-0.164758368865471,-0.137305994239581
"result.11",7,11,-1,7,-3.8,0.362010776244893,-0.199187967244689,-0.129346109670337,-0.141057189137768,-0.140614351356077,-0.169186885591797,-0.141614273544357
"result.12",7,12,-1,7,-3.8,0.361157453685483,-0.199187967244689,-0.124206582399023,-0.135990219627772,-0.135889064511805,-0.163824965647162,-0.136387792656658
"result.13",7,13,-1,7,-3.8,0.360823090560163,-0.199187967244689,-0.126546438799529,-0.137246901233572,-0.137174958346989,-0.164752726881173,-0.137300729626591
"result.14",7,14,-1,7,-3.8,0.360495693333287,-0.199187967244689,-0.125687912825984,-0.136523999012957,-0.135930123856688,-0.16431516689182,-0.136940023222612
"result.15",7,15,-1,7,-3.8,0.360070773528193,-0.199187967244689,-0.123813335267325,-0.134491843528647,-0.134196985610279,-0.162082230579185,-0.13477339507695
"result.16",7,16,-1,7,-3.8,0.360878817747716,-0.199187967244689,-0.123241405643245,-0.134182825985229,-0.134252391086501,-0.161729932770075,-0.134276804147066
"result.17",7,17,-1,7,-3.8,0.361133073040928,-0.199187967244689,-0.121919945829292,-0.13263589228171,-0.132545961445182,-0.160336810348293,-0.132910099615149
"result.18",7,18,-1,7,-3.8,0.362111781772334,-0.199187967244689,-0.127477737230229,-0.139598365300009,-0.139210232135692,-0.167462207039402,-0.139924037434793
"result.19",7,19,-1,7,-3.8,0.360669840794391,-0.199187967244689,-0.126656112514626,-0.138085024623611,-0.13805442331613,-0.165766642779158,-0.138331987460577
"result.20",7,20,-1,7,-3.8,0.362097849975445,-0.199187967244689,-0.123019872464432,-0.133963842059632,-0.133793937660145,-0.16165822029034,-0.134171473542677
"result.21",7,21,-1,7,-3.8,0.362292895131882,-0.199187967244689,-0.121657284551163,-0.13309098951788,-0.132568811803001,-0.161068821841869,-0.133538987347171
"result.22",7,22,-1,7,-3.8,0.361634617728908,-0.199187967244689,-0.130130925915999,-0.142123665623505,-0.141766631873722,-0.169908518317304,-0.142439052179652
"result.23",7,23,-1,7,-3.8,0.360826573509385,-0.199187967244689,-0.127224344923656,-0.138435310198474,-0.138085784335709,-0.166020362707812,-0.138618341245949
"result.24",7,24,-1,7,-3.8,0.359217450968782,-0.199187967244689,-0.126175656192875,-0.138288011795754,-0.137994746317511,-0.165857382164151,-0.13851331728828
"result.25",7,25,-1,7,-3.8,0.361188800228481,-0.199187967244689,-0.126493948768039,-0.137984070040757,-0.137540460768185,-0.165903448023411,-0.138435884313961
"result.26",7,26,-1,7,-3.8,0.361192283177704,-0.199187967244689,-0.126235870107827,-0.136845759200316,-0.136755442218083,-0.164552519558749,-0.137112608125951
"result.27",7,27,-1,7,-3.8,0.3596145071801,-0.199187967244689,-0.12571433755462,-0.136257886424802,-0.136177461387224,-0.16351514945233,-0.136198648250457
"result.28",7,28,-1,7,-3.8,0.359893143117866,-0.199187967244689,-0.124164928322622,-0.136233712055148,-0.13590814158021,-0.16392171099781,-0.136603920407128
"result.29",7,29,-1,7,-3.8,0.360843988255495,-0.199187967244689,-0.125123696137647,-0.137215635812721,-0.136996758931642,-0.165132173823461,-0.137710902482605
"result.30",7,30,-1,7,-3.8,0.35996628505153,-0.199187967244689,-0.125325109792855,-0.1362195905237,-0.136143549051432,-0.163898812038862,-0.13658299892529
"result.31",7,31,-1,7,-3.8,0.361477885013914,-0.199187967244689,-0.1260981528127,-0.136770618193004,-0.136513518799517,-0.164464890584055,-0.13701185262029
"result.32",7,32,-1,7,-3.8,0.360290199329184,-0.199187967244689,-0.123284512019738,-0.134586291851905,-0.134335253866572,-0.162259154637451,-0.134942870949823
"result.33",7,33,-1,7,-3.8,0.360586250013061,-0.199187967244689,-0.12410482909111,-0.134256827209612,-0.133986323902651,-0.161876904176379,-0.134457112333656
"result.34",7,34,-1,7,-3.8,0.361568441693689,-0.199187967244689,-0.12708553475422,-0.137788193407484,-0.137519391403973,-0.165145824902662,-0.13768464581192
"result.35",7,35,-1,7,-3.8,0.361140038939372,-0.199187967244689,-0.125133757724069,-0.136589502932615,-0.136422578985578,-0.164177498668279,-0.136713560220659
"result.36",7,36,-1,7,-3.8,0.362177957807553,-0.199187967244689,-0.124124904045334,-0.136098872404325,-0.135617003682278,-0.16364218659543,-0.136152825462735
"result.37",7,37,-1,7,-3.8,0.359485638058883,-0.199187967244689,-0.126853354845561,-0.139454068092098,-0.138921533470365,-0.167280185229322,-0.139927817470081
"result.38",7,38,-1,7,-3.8,0.361376879486474,-0.199187967244689,-0.125102691211175,-0.136944005150265,-0.136922111425951,-0.164736793241568,-0.13728628361766
"result.39",7,39,-1,7,-3.8,0.361105209447151,-0.199187967244689,-0.125269807949183,-0.136671824782996,-0.136483656829502,-0.164194572830608,-0.136764970955592
"result.40",7,40,-1,7,-3.8,0.360899715443049,-0.199187967244689,-0.124780286478077,-0.136096014677264,-0.135712628917759,-0.163949611747901,-0.136548426850346
"result.41",7,41,-1,7,-3.8,0.360798709915608,-0.199187967244689,-0.126411170241562,-0.137671445229894,-0.137318688016129,-0.165811489301804,-0.138414472924631
"result.42",7,42,-1,7,-3.8,0.362164026010665,-0.199187967244689,-0.12314554989596,-0.134521425983476,-0.134221715080807,-0.162362704929867,-0.134830069774888
"result.43",7,43,-1,7,-3.8,0.361770452748569,-0.199187967244689,-0.125150909831909,-0.13595696104934,-0.13567666509601,-0.163862093744841,-0.136412411456382
"result.44",7,44,-1,7,-3.8,0.360485244485621,-0.199187967244689,-0.128208389075908,-0.138783908511393,-0.138532429991565,-0.166648827385132,-0.139218969526629
"result.45",7,45,-1,7,-3.8,0.3615545098968,-0.199187967244689,-0.124178331347551,-0.135323564201725,-0.134996105988503,-0.163231347197344,-0.135741073846135
"result.46",7,46,-1,7,-3.8,0.361115658294818,-0.199187967244689,-0.126144022782756,-0.138515285885704,-0.138323085466653,-0.166085262148384,-0.138645368741169
"result.47",7,47,-1,7,-3.8,0.361345532943475,-0.199187967244689,-0.122759445153541,-0.133181022242249,-0.133096686565555,-0.161159239835298,-0.133710042167116
"result.48",7,48,-1,7,-3.8,0.360015046340639,-0.199187967244689,-0.125902985196184,-0.137383019423062,-0.137088987201307,-0.165070475990085,-0.137680407129185
"result.49",7,49,-1,7,-3.8,0.36172169145946,-0.199187967244689,-0.118244659692679,-0.12849254180775,-0.128454665246331,-0.156483989513429,-0.129068145815161
"result.50",7,50,-1,7,-3.8,0.361474402064692,-0.199187967244689,-0.125629795520888,-0.136449087652776,-0.136215988101012,-0.164176651544507,-0.136709977260955
"result.51",7,51,-1,7,-3.8,0.361171385482371,-0.199187967244689,-0.125283726003476,-0.136929298184788,-0.136737993537443,-0.164698894554239,-0.137229757714004
"result.52",7,52,-1,7,-3.8,0.361645066576574,-0.199187967244689,-0.126534765660193,-0.138012796059087,-0.137701653303274,-0.166067628547025,-0.138513376339959
