"","Setting","rep","alpha","beta","gamma","y.mean","Truth","Unadjusted","PSReg","PSS","IPW","IPW2"
"result.74",7,74,-1,7,-4.3,0.267741272599987,-0.17098451122814,-0.104577798916821,-0.113858373295614,-0.114030370324385,-0.134594266513565,-0.114085396294769
"result.75",7,75,-1,7,-4.3,0.266950643126574,-0.17098451122814,-0.100422734389882,-0.110088843031567,-0.109933644806933,-0.130710876334173,-0.110346176796189
"result.76",7,76,-1,7,-4.3,0.266623245899698,-0.17098451122814,-0.104593380391889,-0.114408967259398,-0.114346344640544,-0.13486124405632,-0.114436950771383
"result.77",7,77,-1,7,-4.3,0.266100803516386,-0.17098451122814,-0.0996212328471243,-0.109882492026058,-0.109322546880657,-0.130692975720122,-0.110389487934717
"result.78",7,78,-1,7,-4.3,0.266522240372258,-0.17098451122814,-0.101083332802588,-0.111456614550204,-0.111222432231299,-0.132033390276235,-0.111629262378074
"result.79",7,79,-1,7,-4.3,0.267041199806348,-0.17098451122814,-0.103533544498857,-0.113392132227524,-0.113286523678073,-0.13412232950406,-0.113671169432744
"result.80",7,80,-1,7,-4.3,0.267870141721204,-0.17098451122814,-0.102377067542153,-0.112313475516332,-0.111908545063776,-0.132916611818671,-0.112491614388135
"result.81",7,81,-1,7,-4.3,0.266790427462358,-0.17098451122814,-0.102613196706686,-0.11294860140373,-0.11296398883118,-0.13349423675496,-0.113072181565136
"result.82",7,82,-1,7,-4.3,0.268340339866185,-0.17098451122814,-0.102656832709503,-0.112914360984728,-0.112546610173347,-0.133601242229399,-0.113087308762436
"result.83",7,83,-1,7,-4.3,0.268559765667176,-0.17098451122814,-0.101345693821274,-0.112037286154751,-0.111941753554641,-0.132841473856702,-0.112311690188515
"result.84",7,84,-1,7,-4.3,0.266689421934918,-0.17098451122814,-0.10355955428461,-0.113671527796106,-0.113579983545068,-0.134230307938917,-0.113834313731862
"result.85",7,85,-1,7,-4.3,0.267065580450903,-0.17098451122814,-0.104688617374088,-0.114740498909353,-0.11443583950927,-0.135482140831843,-0.11507794638101
"result.86",7,86,-1,7,-4.3,0.26719444957212,-0.17098451122814,-0.104946592298579,-0.114584149244056,-0.114541374317028,-0.135280543579892,-0.1148529063665
"result.87",7,87,-1,7,-4.3,0.266302814571266,-0.17098451122814,-0.104056892427179,-0.114452269003943,-0.114312389100712,-0.135295905924876,-0.114908978790569
"result.88",7,88,-1,7,-4.3,0.26704468275557,-0.17098451122814,-0.10510552564086,-0.115026066601012,-0.11497416462562,-0.135898313112342,-0.115430689159571
"result.89",7,89,-1,7,-4.3,0.267448704865332,-0.17098451122814,-0.101375975017782,-0.113164399144753,-0.112769945799227,-0.134143284483469,-0.113653616988607
"result.90",7,90,-1,7,-4.3,0.267448704865332,-0.17098451122814,-0.101739192993794,-0.113342277756967,-0.112894607543353,-0.134259308143679,-0.113787001736718
"result.91",7,91,-1,7,-4.3,0.267950249553312,-0.17098451122814,-0.102755663171031,-0.113629386001174,-0.113361214347101,-0.134721434671313,-0.114184100940935
"result.92",7,92,-1,7,-4.3,0.267441738966888,-0.17098451122814,-0.102283290158526,-0.113534748641944,-0.11305959313986,-0.134285366124664,-0.113872640734397
"result.93",7,93,-1,7,-4.3,0.266428200743261,-0.17098451122814,-0.101834841269637,-0.113473417177137,-0.113165697248303,-0.134144645442061,-0.11378631339695
"result.94",7,94,-1,7,-4.3,0.267023785060238,-0.17098451122814,-0.103971772548502,-0.113008795433916,-0.113114380851206,-0.133488423323236,-0.113107884563475
"result.95",7,95,-1,7,-4.3,0.267709926056988,-0.17098451122814,-0.103659484918927,-0.113869774346937,-0.113564042225395,-0.134573989510282,-0.114115709402712
"result.96",7,96,-1,7,-4.3,0.268120914065194,-0.17098451122814,-0.103213595801398,-0.114053342440739,-0.113961113581991,-0.134601989822808,-0.114112684713931
"result.97",7,97,-1,7,-4.3,0.266975023771128,-0.17098451122814,-0.105880543288641,-0.115955894388726,-0.115594290945255,-0.136868133117468,-0.116409026053238
"result.98",7,98,-1,7,-4.3,0.269270287308481,-0.17098451122814,-0.104982463497792,-0.115394919392813,-0.115192238278032,-0.136446840607339,-0.115769940692948
"result.99",7,99,-1,7,-4.3,0.268138328811304,-0.17098451122814,-0.102845217362524,-0.113035788712079,-0.112875205162613,-0.134052885893928,-0.113533337251316
"result.100",7,100,-1,7,-4.3,0.267762170295319,-0.17098451122814,-0.102051432404749,-0.111772464547094,-0.111250453196659,-0.132782419182237,-0.112335841261243
"result.1",8,1,-1,8,-4.85,0.266891432989798,-0.165167658234734,-0.0894431572437416,-0.101821251954976,-0.101690692519092,-0.1223314110693,-0.102002957265138
